Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Sat Nov 4 2023,1:00p,Phoenix Suns,100,Philadelphia 76ers,112
Sat Nov 4 2023,7:00p,Charlotte Hornets,125,Indiana Pacers,124
Sat Nov 4 2023,7:00p,Atlanta Hawks,123,New Orleans Pelicans,105
Sat Nov 4 2023,7:00p,Los Angeles Lakers,101,Orlando Magic,120
Sat Nov 4 2023,8:00p,Boston Celtics,124,Brooklyn Nets,114
Sat Nov 4 2023,8:00p,Sacramento Kings,89,Houston Rockets,107
Sat Nov 4 2023,8:00p,Utah Jazz,95,Minnesota Timberwolves,123
Sat Nov 4 2023,9:00p,Chicago Bulls,101,Denver Nuggets,123
Sun Nov 5 2023,3:00p,Phoenix Suns,120,Detroit Pistons,106
Sun Nov 5 2023,3:30p,Toronto Raptors,123,San Antonio Spurs,116
Sun Nov 5 2023,6:00p,Golden State Warriors,104,Cleveland Cavaliers,115
Sun Nov 5 2023,7:30p,Charlotte Hornets,118,Dallas Mavericks,124
Sun Nov 5 2023,9:00p,Memphis Grizzlies,112,Portland Trail Blazers,100
Mon Nov 6 2023,7:00p,Golden State Warriors,120,Detroit Pistons,109
Mon Nov 6 2023,7:00p,San Antonio Spurs,111,Indiana Pacers,152
Mon Nov 6 2023,7:00p,Dallas Mavericks,117,Orlando Magic,102
Mon Nov 6 2023,7:00p,Washington Wizards,128,Philadelphia 76ers,146
Mon Nov 6 2023,7:30p,Milwaukee Bucks,129,Brooklyn Nets,125
Mon Nov 6 2023,7:30p,Los Angeles Lakers,107,Miami Heat,108
Mon Nov 6 2023,7:30p,Los Angeles Clippers,97,New York Knicks,111
Mon Nov 6 2023,8:00p,Utah Jazz,113,Chicago Bulls,130
Mon Nov 6 2023,8:00p,Sacramento Kings,97,Houston Rockets,122
Mon Nov 6 2023,8:00p,Boston Celtics,109,Minnesota Timberwolves,114
Mon Nov 6 2023,8:00p,Atlanta Hawks,117,Oklahoma City Thunder,126
Mon Nov 6 2023,9:00p,New Orleans Pelicans,116,Denver Nuggets,134
Wed Nov 8 2023,7:00p,Washington Wizards,132,Charlotte Hornets,116
Wed Nov 8 2023,7:00p,Utah Jazz,118,Indiana Pacers,134
Wed Nov 8 2023,7:00p,Boston Celtics,103,Philadelphia 76ers,106
Wed Nov 8 2023,7:30p,Los Angeles Clippers,93,Brooklyn Nets,100
Wed Nov 8 2023,7:30p,San Antonio Spurs,105,New York Knicks,126
Wed Nov 8 2023,8:00p,Phoenix Suns,116,Chicago Bulls,115
Wed Nov 8 2023,8:00p,Los Angeles Lakers,94,Houston Rockets,128
Wed Nov 8 2023,8:00p,Miami Heat,108,Memphis Grizzlies,102
Wed Nov 8 2023,8:00p,Detroit Pistons,118,Milwaukee Bucks,120
Wed Nov 8 2023,8:00p,New Orleans Pelicans,101,Minnesota Timberwolves,122
Wed Nov 8 2023,8:00p,Cleveland Cavaliers,120,Oklahoma City Thunder,128
Wed Nov 8 2023,8:30p,Toronto Raptors,127,Dallas Mavericks,116
Wed Nov 8 2023,10:00p,Golden State Warriors,105,Denver Nuggets,108
Wed Nov 8 2023,10:00p,Portland Trail Blazers,118,Sacramento Kings,121
Thu Nov 9 2023,7:00p,Milwaukee Bucks,,Indiana Pacers,
Thu Nov 9 2023,9:30p,Atlanta Hawks,,Orlando Magic,
Fri Nov 10 2023,7:00p,Philadelphia 76ers,,Detroit Pistons,
Fri Nov 10 2023,7:00p,Charlotte Hornets,,Washington Wizards,
Fri Nov 10 2023,7:30p,Brooklyn Nets,,Boston Celtics,
Fri Nov 10 2023,8:00p,New Orleans Pelicans,,Houston Rockets,
Fri Nov 10 2023,8:00p,Utah Jazz,,Memphis Grizzlies,
Fri Nov 10 2023,8:00p,Minnesota Timberwolves,,San Antonio Spurs,
Fri Nov 10 2023,8:30p,Los Angeles Clippers,,Dallas Mavericks,
Fri Nov 10 2023,10:00p,Los Angeles Lakers,,Phoenix Suns,
Fri Nov 10 2023,10:00p,Oklahoma City Thunder,,Sacramento Kings,
Sat Nov 11 2023,6:00p,Milwaukee Bucks,,Orlando Magic,
Sat Nov 11 2023,7:00p,Toronto Raptors,,Boston Celtics,
Sat Nov 11 2023,7:30p,Miami Heat,,Atlanta Hawks,
Sat Nov 11 2023,8:30p,Cleveland Cavaliers,,Golden State Warriors,
Sun Nov 12 2023,12:00p,Charlotte Hornets,,New York Knicks,
Sun Nov 12 2023,3:00p,Washington Wizards,,Brooklyn Nets,
Sun Nov 12 2023,3:30p,Memphis Grizzlies,,Los Angeles Clippers,
Sun Nov 12 2023,6:00p,Indiana Pacers,,Philadelphia 76ers,
Sun Nov 12 2023,7:00p,Detroit Pistons,,Chicago Bulls,
Sun Nov 12 2023,7:00p,Denver Nuggets,,Houston Rockets,
Sun Nov 12 2023,7:00p,Dallas Mavericks,,New Orleans Pelicans,
Sun Nov 12 2023,7:00p,Miami Heat,,San Antonio Spurs,
Sun Nov 12 2023,8:00p,Oklahoma City Thunder,,Phoenix Suns,
Sun Nov 12 2023,8:30p,Minnesota Timberwolves,,Golden State Warriors,
Sun Nov 12 2023,10:00p,Portland Trail Blazers,,Los Angeles Lakers,
Mon Nov 13 2023,7:30p,New York Knicks,,Boston Celtics,
Mon Nov 13 2023,7:30p,Washington Wizards,,Toronto Raptors,
Mon Nov 13 2023,8:00p,Chicago Bulls,,Milwaukee Bucks,
Mon Nov 13 2023,10:00p,Cleveland Cavaliers,,Sacramento Kings,
Tue Nov 14 2023,7:00p,Miami Heat,,Charlotte Hornets,
Tue Nov 14 2023,7:00p,Atlanta Hawks,,Detroit Pistons,
Tue Nov 14 2023,7:00p,Indiana Pacers,,Philadelphia 76ers,
Tue Nov 14 2023,7:30p,Orlando Magic,,Brooklyn Nets,
Tue Nov 14 2023,7:30p,San Antonio Spurs,,Oklahoma City Thunder,
Tue Nov 14 2023,8:00p,Dallas Mavericks,,New Orleans Pelicans,
Tue Nov 14 2023,9:00p,Portland Trail Blazers,,Utah Jazz,
Tue Nov 14 2023,10:00p,Los Angeles Clippers,,Denver Nuggets,
Tue Nov 14 2023,10:00p,Minnesota Timberwolves,,Golden State Warriors,
Tue Nov 14 2023,10:30p,Memphis Grizzlies,,Los Angeles Lakers,
Wed Nov 15 2023,7:00p,Dallas Mavericks,,Washington Wizards,
Wed Nov 15 2023,7:30p,New York Knicks,,Atlanta Hawks,
Wed Nov 15 2023,7:30p,Boston Celtics,,Philadelphia 76ers,
Wed Nov 15 2023,7:30p,Milwaukee Bucks,,Toronto Raptors,
Wed Nov 15 2023,8:00p,Orlando Magic,,Chicago Bulls,
Wed Nov 15 2023,9:00p,Minnesota Timberwolves,,Phoenix Suns,
Wed Nov 15 2023,10:00p,Sacramento Kings,,Los Angeles Lakers,
Wed Nov 15 2023,10:00p,Cleveland Cavaliers,,Portland Trail Blazers,
Thu Nov 16 2023,7:30p,Brooklyn Nets,,Miami Heat,
Thu Nov 16 2023,10:00p,Oklahoma City Thunder,,Golden State Warriors,
Fri Nov 17 2023,7:00p,Milwaukee Bucks,,Charlotte Hornets,
Fri Nov 17 2023,7:00p,New York Knicks,,Washington Wizards,
Fri Nov 17 2023,7:30p,Philadelphia 76ers,,Atlanta Hawks,
Fri Nov 17 2023,7:30p,Detroit Pistons,,Cleveland Cavaliers,
Fri Nov 17 2023,7:30p,Sacramento Kings,,San Antonio Spurs,
Fri Nov 17 2023,7:30p,Boston Celtics,,Toronto Raptors,
Fri Nov 17 2023,8:00p,Orlando Magic,,Chicago Bulls,
Fri Nov 17 2023,8:00p,Denver Nuggets,,New Orleans Pelicans,
Fri Nov 17 2023,10:00p,Los Angeles Lakers,,Portland Trail Blazers,
Fri Nov 17 2023,10:00p,Phoenix Suns,,Utah Jazz,
Fri Nov 17 2023,10:30p,Houston Rockets,,Los Angeles Clippers,
Sat Nov 18 2023,6:00p,New York Knicks,,Charlotte Hornets,
Sat Nov 18 2023,7:00p,Minnesota Timberwolves,,New Orleans Pelicans,
Sat Nov 18 2023,8:00p,Miami Heat,,Chicago Bulls,
Sat Nov 18 2023,8:00p,Dallas Mavericks,,Milwaukee Bucks,
Sat Nov 18 2023,8:00p,Memphis Grizzlies,,San Antonio Spurs,
Sat Nov 18 2023,8:30p,Oklahoma City Thunder,,Golden State Warriors,
Sun Nov 19 2023,3:00p,Philadelphia 76ers,,Brooklyn Nets,
Sun Nov 19 2023,4:00p,Detroit Pistons,,Toronto Raptors,
Sun Nov 19 2023,5:00p,Orlando Magic,,Indiana Pacers,
Sun Nov 19 2023,6:00p,Denver Nuggets,,Cleveland Cavaliers,
Sun Nov 19 2023,7:30p,Sacramento Kings,,Dallas Mavericks,
Sun Nov 19 2023,8:00p,Boston Celtics,,Memphis Grizzlies,
Sun Nov 19 2023,8:00p,Phoenix Suns,,Utah Jazz,
Sun Nov 19 2023,9:00p,Oklahoma City Thunder,,Portland Trail Blazers,
Sun Nov 19 2023,9:30p,Houston Rockets,,Los Angeles Lakers,
Mon Nov 20 2023,7:00p,Boston Celtics,,Charlotte Hornets,
Mon Nov 20 2023,7:00p,Denver Nuggets,,Detroit Pistons,
Mon Nov 20 2023,7:00p,Milwaukee Bucks,,Washington Wizards,
Mon Nov 20 2023,8:00p,Miami Heat,,Chicago Bulls,
Mon Nov 20 2023,8:00p,New York Knicks,,Minnesota Timberwolves,
Mon Nov 20 2023,8:00p,Sacramento Kings,,New Orleans Pelicans,
Mon Nov 20 2023,8:00p,Los Angeles Clippers,,San Antonio Spurs,
Mon Nov 20 2023,10:00p,Houston Rockets,,Golden State Warriors,
Tue Nov 21 2023,7:00p,Toronto Raptors,,Orlando Magic,
Tue Nov 21 2023,7:30p,Indiana Pacers,,Atlanta Hawks,
Tue Nov 21 2023,7:30p,Cleveland Cavaliers,,Philadelphia 76ers,
Tue Nov 21 2023,9:00p,Portland Trail Blazers,,Phoenix Suns,
Tue Nov 21 2023,10:00p,Utah Jazz,,Los Angeles Lakers,
Wed Nov 22 2023,7:00p,Washington Wizards,,Charlotte Hornets,
Wed Nov 22 2023,7:00p,Denver Nuggets,,Orlando Magic,
Wed Nov 22 2023,7:30p,Brooklyn Nets,,Atlanta Hawks,
Wed Nov 22 2023,7:30p,Milwaukee Bucks,,Boston Celtics,
Wed Nov 22 2023,7:30p,Miami Heat,,Cleveland Cavaliers,
Wed Nov 22 2023,7:30p,Toronto Raptors,,Indiana Pacers,
Wed Nov 22 2023,8:00p,Memphis Grizzlies,,Houston Rockets,
Wed Nov 22 2023,8:00p,Philadelphia 76ers,,Minnesota Timberwolves,
