Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Mon Dec 18 2023,9:00p,Brooklyn Nets,,Utah Jazz,
Mon Dec 18 2023,10:00p,Washington Wizards,,Sacramento Kings,
Mon Dec 18 2023,10:30p,New York Knicks,,Los Angeles Lakers,
Tue Dec 19 2023,7:30p,Memphis Grizzlies,,New Orleans Pelicans,
Tue Dec 19 2023,8:00p,San Antonio Spurs,,Milwaukee Bucks,
Tue Dec 19 2023,10:00p,Boston Celtics,,Golden State Warriors,
Tue Dec 19 2023,10:00p,Phoenix Suns,,Portland Trail Blazers,
Wed Dec 20 2023,7:00p,Utah Jazz,,Cleveland Cavaliers,
Wed Dec 20 2023,7:00p,Charlotte Hornets,,Indiana Pacers,
Wed Dec 20 2023,7:00p,Miami Heat,,Orlando Magic,
Wed Dec 20 2023,7:00p,Minnesota Timberwolves,,Philadelphia 76ers,
Wed Dec 20 2023,7:30p,New York Knicks,,Brooklyn Nets,
Wed Dec 20 2023,7:30p,Denver Nuggets,,Toronto Raptors,
Wed Dec 20 2023,8:00p,Los Angeles Lakers,,Chicago Bulls,
Wed Dec 20 2023,8:00p,Atlanta Hawks,,Houston Rockets,
Wed Dec 20 2023,8:30p,Los Angeles Clippers,,Dallas Mavericks,
Wed Dec 20 2023,10:00p,Boston Celtics,,Sacramento Kings,
Thu Dec 21 2023,7:00p,Utah Jazz,,Detroit Pistons,
Thu Dec 21 2023,7:30p,New Orleans Pelicans,,Cleveland Cavaliers,
Thu Dec 21 2023,8:00p,San Antonio Spurs,,Chicago Bulls,
Thu Dec 21 2023,8:00p,Indiana Pacers,,Memphis Grizzlies,
Thu Dec 21 2023,8:00p,Orlando Magic,,Milwaukee Bucks,
Thu Dec 21 2023,8:00p,Los Angeles Clippers,,Oklahoma City Thunder,
Thu Dec 21 2023,9:00p,Los Angeles Lakers,,Minnesota Timberwolves,
Thu Dec 21 2023,10:00p,Washington Wizards,,Portland Trail Blazers,
Fri Dec 22 2023,6:30p,Denver Nuggets,,Brooklyn Nets,
Fri Dec 22 2023,7:00p,Toronto Raptors,,Philadelphia 76ers,
Fri Dec 22 2023,8:00p,Dallas Mavericks,,Houston Rockets,
Fri Dec 22 2023,8:00p,Atlanta Hawks,,Miami Heat,
Fri Dec 22 2023,10:00p,Washington Wizards,,Golden State Warriors,
Fri Dec 22 2023,10:00p,Phoenix Suns,,Sacramento Kings,
Sat Dec 23 2023,12:30p,Milwaukee Bucks,,New York Knicks,
Sat Dec 23 2023,3:30p,Boston Celtics,,Los Angeles Clippers,
Sat Dec 23 2023,7:00p,Denver Nuggets,,Charlotte Hornets,
Sat Dec 23 2023,7:00p,Orlando Magic,,Indiana Pacers,
Sat Dec 23 2023,7:00p,Houston Rockets,,New Orleans Pelicans,
Sat Dec 23 2023,7:30p,Memphis Grizzlies,,Atlanta Hawks,
Sat Dec 23 2023,7:30p,Detroit Pistons,,Brooklyn Nets,
Sat Dec 23 2023,7:30p,Utah Jazz,,Toronto Raptors,
Sat Dec 23 2023,8:00p,Cleveland Cavaliers,,Chicago Bulls,
Sat Dec 23 2023,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,
Sat Dec 23 2023,8:30p,San Antonio Spurs,,Dallas Mavericks,
Sat Dec 23 2023,8:30p,Portland Trail Blazers,,Golden State Warriors,
Sat Dec 23 2023,10:00p,Minnesota Timberwolves,,Sacramento Kings,
Mon Dec 25 2023,12:00p,Milwaukee Bucks,,New York Knicks,
Mon Dec 25 2023,2:30p,Golden State Warriors,,Denver Nuggets,
Mon Dec 25 2023,5:00p,Boston Celtics,,Los Angeles Lakers,
Mon Dec 25 2023,8:00p,Philadelphia 76ers,,Miami Heat,
Mon Dec 25 2023,10:30p,Dallas Mavericks,,Phoenix Suns,
Tue Dec 26 2023,7:00p,Brooklyn Nets,,Detroit Pistons,
Tue Dec 26 2023,7:00p,Orlando Magic,,Washington Wizards,
Tue Dec 26 2023,8:00p,Atlanta Hawks,,Chicago Bulls,
Tue Dec 26 2023,8:00p,Indiana Pacers,,Houston Rockets,
Tue Dec 26 2023,8:00p,Memphis Grizzlies,,New Orleans Pelicans,
Tue Dec 26 2023,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,
Tue Dec 26 2023,8:00p,Utah Jazz,,San Antonio Spurs,
Tue Dec 26 2023,10:00p,Sacramento Kings,,Portland Trail Blazers,
Tue Dec 26 2023,10:30p,Charlotte Hornets,,Los Angeles Clippers,
Wed Dec 27 2023,7:00p,Philadelphia 76ers,,Orlando Magic,
Wed Dec 27 2023,7:00p,Toronto Raptors,,Washington Wizards,
Wed Dec 27 2023,7:30p,Milwaukee Bucks,,Brooklyn Nets,
Wed Dec 27 2023,8:00p,Phoenix Suns,,Houston Rockets,
Wed Dec 27 2023,8:00p,New York Knicks,,Oklahoma City Thunder,
Wed Dec 27 2023,8:30p,Cleveland Cavaliers,,Dallas Mavericks,
Thu Dec 28 2023,7:30p,Detroit Pistons,,Boston Celtics,
Thu Dec 28 2023,8:00p,Indiana Pacers,,Chicago Bulls,
Thu Dec 28 2023,8:00p,Dallas Mavericks,,Minnesota Timberwolves,
Thu Dec 28 2023,8:00p,Utah Jazz,,New Orleans Pelicans,
Thu Dec 28 2023,9:00p,Memphis Grizzlies,,Denver Nuggets,
Thu Dec 28 2023,10:00p,Miami Heat,,Golden State Warriors,
Thu Dec 28 2023,10:00p,San Antonio Spurs,,Portland Trail Blazers,
Thu Dec 28 2023,10:30p,Charlotte Hornets,,Los Angeles Lakers,
Fri Dec 29 2023,7:00p,New York Knicks,,Orlando Magic,
Fri Dec 29 2023,7:00p,Brooklyn Nets,,Washington Wizards,
Fri Dec 29 2023,7:30p,Sacramento Kings,,Atlanta Hawks,
Fri Dec 29 2023,7:30p,Toronto Raptors,,Boston Celtics,
Fri Dec 29 2023,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,
Fri Dec 29 2023,8:00p,Philadelphia 76ers,,Houston Rockets,
Fri Dec 29 2023,9:00p,Oklahoma City Thunder,,Denver Nuggets,
Fri Dec 29 2023,9:00p,Charlotte Hornets,,Phoenix Suns,
Fri Dec 29 2023,10:00p,San Antonio Spurs,,Portland Trail Blazers,
Fri Dec 29 2023,10:30p,Memphis Grizzlies,,Los Angeles Clippers,
Sat Dec 30 2023,5:00p,Miami Heat,,Utah Jazz,
Sat Dec 30 2023,6:00p,Toronto Raptors,,Detroit Pistons,
Sat Dec 30 2023,7:00p,New York Knicks,,Indiana Pacers,
Sat Dec 30 2023,8:00p,Philadelphia 76ers,,Chicago Bulls,
Sat Dec 30 2023,8:00p,Los Angeles Lakers,,Minnesota Timberwolves,
Sat Dec 30 2023,8:30p,Dallas Mavericks,,Golden State Warriors,
Sun Dec 31 2023,3:00p,Atlanta Hawks,,Washington Wizards,
Sun Dec 31 2023,7:00p,Los Angeles Lakers,,New Orleans Pelicans,
Sun Dec 31 2023,7:00p,Brooklyn Nets,,Oklahoma City Thunder,
Sun Dec 31 2023,7:00p,Boston Celtics,,San Antonio Spurs,
Sun Dec 31 2023,8:00p,Sacramento Kings,,Memphis Grizzlies,
Sun Dec 31 2023,8:00p,Orlando Magic,,Phoenix Suns,
Mon Jan 1 2024,3:00p,Minnesota Timberwolves,,New York Knicks,
Mon Jan 1 2024,7:30p,Cleveland Cavaliers,,Toronto Raptors,
Mon Jan 1 2024,8:00p,Detroit Pistons,,Houston Rockets,
Mon Jan 1 2024,8:00p,Indiana Pacers,,Milwaukee Bucks,
Mon Jan 1 2024,9:00p,Charlotte Hornets,,Denver Nuggets,
Mon Jan 1 2024,9:00p,Portland Trail Blazers,,Phoenix Suns,
Mon Jan 1 2024,9:00p,Dallas Mavericks,,Utah Jazz,
Mon Jan 1 2024,10:30p,Miami Heat,,Los Angeles Clippers,
Tue Jan 2 2024,7:00p,Chicago Bulls,,Philadelphia 76ers,
Tue Jan 2 2024,8:00p,San Antonio Spurs,,Memphis Grizzlies,
Tue Jan 2 2024,8:00p,Brooklyn Nets,,New Orleans Pelicans,
Tue Jan 2 2024,8:00p,Boston Celtics,,Oklahoma City Thunder,
Tue Jan 2 2024,10:00p,Orlando Magic,,Golden State Warriors,
Tue Jan 2 2024,10:00p,Charlotte Hornets,,Sacramento Kings,
Wed Jan 3 2024,7:00p,Washington Wizards,,Cleveland Cavaliers,
Wed Jan 3 2024,7:00p,Milwaukee Bucks,,Indiana Pacers,
Wed Jan 3 2024,7:30p,Oklahoma City Thunder,,Atlanta Hawks,
Wed Jan 3 2024,8:00p,Brooklyn Nets,,Houston Rockets,
Wed Jan 3 2024,8:00p,Toronto Raptors,,Memphis Grizzlies,
Wed Jan 3 2024,8:00p,New Orleans Pelicans,,Minnesota Timberwolves,
Wed Jan 3 2024,8:30p,Portland Trail Blazers,,Dallas Mavericks,
Wed Jan 3 2024,8:30p,Chicago Bulls,,New York Knicks,
Wed Jan 3 2024,9:00p,Los Angeles Clippers,,Phoenix Suns,
Wed Jan 3 2024,9:00p,Detroit Pistons,,Utah Jazz,
Wed Jan 3 2024,10:00p,Miami Heat,,Los Angeles Lakers,
Wed Jan 3 2024,10:00p,Orlando Magic,,Sacramento Kings,
Thu Jan 4 2024,7:30p,Milwaukee Bucks,,San Antonio Spurs,
Thu Jan 4 2024,10:00p,Denver Nuggets,,Golden State Warriors,
Fri Jan 5 2024,7:00p,Utah Jazz,,Boston Celtics,
Fri Jan 5 2024,7:00p,Atlanta Hawks,,Indiana Pacers,
Fri Jan 5 2024,7:30p,Oklahoma City Thunder,,Brooklyn Nets,
Fri Jan 5 2024,7:30p,Washington Wizards,,Cleveland Cavaliers,
Fri Jan 5 2024,7:30p,New York Knicks,,Philadelphia 76ers,
Fri Jan 5 2024,8:00p,Charlotte Hornets,,Chicago Bulls,
Fri Jan 5 2024,8:00p,Minnesota Timberwolves,,Houston Rockets,
Fri Jan 5 2024,8:00p,Los Angeles Clippers,,New Orleans Pelicans,
Fri Jan 5 2024,8:30p,Portland Trail Blazers,,Dallas Mavericks,
Fri Jan 5 2024,9:00p,Orlando Magic,,Denver Nuggets,
Fri Jan 5 2024,9:00p,Miami Heat,,Phoenix Suns,
Fri Jan 5 2024,10:00p,Detroit Pistons,,Golden State Warriors,
Fri Jan 5 2024,10:00p,Memphis Grizzlies,,Los Angeles Lakers,
Fri Jan 5 2024,10:00p,Toronto Raptors,,Sacramento Kings,
Sat Jan 6 2024,7:00p,Boston Celtics,,Indiana Pacers,
Sat Jan 6 2024,7:00p,New York Knicks,,Washington Wizards,
Sat Jan 6 2024,7:30p,Utah Jazz,,Philadelphia 76ers,
Sat Jan 6 2024,8:00p,Milwaukee Bucks,,Houston Rockets,
Sun Jan 7 2024,1:00p,San Antonio Spurs,,Cleveland Cavaliers,
Sun Jan 7 2024,3:00p,Portland Trail Blazers,,Brooklyn Nets,
Sun Jan 7 2024,6:00p,Atlanta Hawks,,Orlando Magic,
Sun Jan 7 2024,6:00p,New Orleans Pelicans,,Sacramento Kings,
Sun Jan 7 2024,7:30p,Minnesota Timberwolves,,Dallas Mavericks,
Sun Jan 7 2024,8:00p,Detroit Pistons,,Denver Nuggets,
Sun Jan 7 2024,8:00p,Memphis Grizzlies,,Phoenix Suns,
Sun Jan 7 2024,8:30p,Toronto Raptors,,Golden State Warriors,
Sun Jan 7 2024,9:30p,Los Angeles Clippers,,Los Angeles Lakers,
Mon Jan 8 2024,7:00p,Chicago Bulls,,Charlotte Hornets,
Mon Jan 8 2024,7:00p,Boston Celtics,,Indiana Pacers,
Mon Jan 8 2024,7:00p,Oklahoma City Thunder,,Washington Wizards,
Mon Jan 8 2024,7:30p,Houston Rockets,,Miami Heat,
Mon Jan 8 2024,8:00p,Utah Jazz,,Milwaukee Bucks,
Mon Jan 8 2024,10:30p,Phoenix Suns,,Los Angeles Clippers,
Tue Jan 9 2024,7:00p,Sacramento Kings,,Detroit Pistons,
Tue Jan 9 2024,7:00p,Minnesota Timberwolves,,Orlando Magic,
Tue Jan 9 2024,7:30p,Portland Trail Blazers,,New York Knicks,
Tue Jan 9 2024,8:30p,Memphis Grizzlies,,Dallas Mavericks,
Tue Jan 9 2024,10:30p,Toronto Raptors,,Los Angeles Lakers,
Wed Jan 10 2024,7:00p,Minnesota Timberwolves,,Boston Celtics,
Wed Jan 10 2024,7:00p,Sacramento Kings,,Charlotte Hornets,
Wed Jan 10 2024,7:00p,San Antonio Spurs,,Detroit Pistons,
Wed Jan 10 2024,7:00p,Washington Wizards,,Indiana Pacers,
Wed Jan 10 2024,7:30p,Philadelphia 76ers,,Atlanta Hawks,
Wed Jan 10 2024,7:30p,Oklahoma City Thunder,,Miami Heat,
Wed Jan 10 2024,8:00p,Houston Rockets,,Chicago Bulls,
Wed Jan 10 2024,8:30p,New Orleans Pelicans,,Golden State Warriors,
Wed Jan 10 2024,10:00p,Denver Nuggets,,Utah Jazz,
Wed Jan 10 2024,10:30p,Toronto Raptors,,Los Angeles Clippers,
Thu Jan 11 2024,2:00p,Brooklyn Nets,,Cleveland Cavaliers,
Thu Jan 11 2024,7:30p,Boston Celtics,,Milwaukee Bucks,
Thu Jan 11 2024,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,
Thu Jan 11 2024,8:30p,New York Knicks,,Dallas Mavericks,
Thu Jan 11 2024,10:00p,Phoenix Suns,,Los Angeles Lakers,
Fri Jan 12 2024,7:00p,Sacramento Kings,,Philadelphia 76ers,
Fri Jan 12 2024,7:30p,Indiana Pacers,,Atlanta Hawks,
Fri Jan 12 2024,7:30p,Houston Rockets,,Detroit Pistons,
Fri Jan 12 2024,8:00p,Golden State Warriors,,Chicago Bulls,
Fri Jan 12 2024,8:00p,Los Angeles Clippers,,Memphis Grizzlies,
Fri Jan 12 2024,8:00p,Orlando Magic,,Miami Heat,
Fri Jan 12 2024,8:00p,Portland Trail Blazers,,Minnesota Timberwolves,
Fri Jan 12 2024,9:00p,New Orleans Pelicans,,Denver Nuggets,
Fri Jan 12 2024,9:30p,Toronto Raptors,,Utah Jazz,
Fri Jan 12 2024,10:00p,Charlotte Hornets,,San Antonio Spurs,
Sat Jan 13 2024,7:00p,Houston Rockets,,Boston Celtics,
Sat Jan 13 2024,7:30p,Washington Wizards,,Atlanta Hawks,
Sat Jan 13 2024,8:00p,New York Knicks,,Memphis Grizzlies,
Sat Jan 13 2024,8:00p,Golden State Warriors,,Milwaukee Bucks,
Sat Jan 13 2024,8:00p,Orlando Magic,,Oklahoma City Thunder,
Sat Jan 13 2024,8:30p,New Orleans Pelicans,,Dallas Mavericks,
Sat Jan 13 2024,8:30p,Chicago Bulls,,San Antonio Spurs,
Sat Jan 13 2024,9:30p,Los Angeles Lakers,,Utah Jazz,
Sun Jan 14 2024,3:30p,Indiana Pacers,,Denver Nuggets,
Sun Jan 14 2024,6:00p,Charlotte Hornets,,Miami Heat,
Sun Jan 14 2024,7:00p,Sacramento Kings,,Milwaukee Bucks,
Sun Jan 14 2024,7:00p,Los Angeles Clippers,,Minnesota Timberwolves,
Sun Jan 14 2024,9:00p,Phoenix Suns,,Portland Trail Blazers,
Mon Jan 15 2024,1:00p,Houston Rockets,,Philadelphia 76ers,
Mon Jan 15 2024,2:30p,New Orleans Pelicans,,Dallas Mavericks,
Mon Jan 15 2024,3:00p,Orlando Magic,,New York Knicks,
Mon Jan 15 2024,3:00p,Detroit Pistons,,Washington Wizards,
Mon Jan 15 2024,3:30p,San Antonio Spurs,,Atlanta Hawks,
Mon Jan 15 2024,6:00p,Golden State Warriors,,Memphis Grizzlies,
Mon Jan 15 2024,7:00p,Chicago Bulls,,Cleveland Cavaliers,
Mon Jan 15 2024,7:30p,Miami Heat,,Brooklyn Nets,
Mon Jan 15 2024,7:30p,Boston Celtics,,Toronto Raptors,
Mon Jan 15 2024,9:00p,Indiana Pacers,,Utah Jazz,
Mon Jan 15 2024,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,
Tue Jan 16 2024,7:30p,Denver Nuggets,,Philadelphia 76ers,
Tue Jan 16 2024,9:00p,Sacramento Kings,,Phoenix Suns,
Tue Jan 16 2024,10:00p,Oklahoma City Thunder,,Los Angeles Clippers,
Wed Jan 17 2024,7:00p,Minnesota Timberwolves,,Detroit Pistons,
Wed Jan 17 2024,7:30p,Orlando Magic,,Atlanta Hawks,
Wed Jan 17 2024,7:30p,San Antonio Spurs,,Boston Celtics,
Wed Jan 17 2024,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,
Wed Jan 17 2024,7:30p,Houston Rockets,,New York Knicks,
Wed Jan 17 2024,7:30p,Miami Heat,,Toronto Raptors,
Wed Jan 17 2024,8:00p,Charlotte Hornets,,New Orleans Pelicans,
Wed Jan 17 2024,8:30p,Dallas Mavericks,,Los Angeles Lakers,
Wed Jan 17 2024,9:00p,Golden State Warriors,,Utah Jazz,
Wed Jan 17 2024,10:00p,Brooklyn Nets,,Portland Trail Blazers,
Thu Jan 18 2024,7:30p,Washington Wizards,,New York Knicks,
Thu Jan 18 2024,7:30p,Chicago Bulls,,Toronto Raptors,
Thu Jan 18 2024,9:00p,Oklahoma City Thunder,,Utah Jazz,
Thu Jan 18 2024,10:00p,Memphis Grizzlies,,Minnesota Timberwolves,
Thu Jan 18 2024,10:00p,Indiana Pacers,,Sacramento Kings,
Fri Jan 19 2024,7:00p,San Antonio Spurs,,Charlotte Hornets,
Fri Jan 19 2024,7:00p,Philadelphia 76ers,,Orlando Magic,
Fri Jan 19 2024,7:30p,Denver Nuggets,,Boston Celtics,
Fri Jan 19 2024,8:00p,Atlanta Hawks,,Miami Heat,
Fri Jan 19 2024,8:00p,Phoenix Suns,,New Orleans Pelicans,
Fri Jan 19 2024,10:00p,Dallas Mavericks,,Golden State Warriors,
Fri Jan 19 2024,10:00p,Indiana Pacers,,Portland Trail Blazers,
Fri Jan 19 2024,10:30p,Brooklyn Nets,,Los Angeles Lakers,
Sat Jan 20 2024,3:00p,Milwaukee Bucks,,Detroit Pistons,
Sat Jan 20 2024,7:00p,Philadelphia 76ers,,Charlotte Hornets,
Sat Jan 20 2024,7:00p,San Antonio Spurs,,Washington Wizards,
Sat Jan 20 2024,7:30p,Cleveland Cavaliers,,Atlanta Hawks,
Sat Jan 20 2024,7:30p,Toronto Raptors,,New York Knicks,
Sat Jan 20 2024,8:00p,Memphis Grizzlies,,Chicago Bulls,
Sat Jan 20 2024,8:00p,Utah Jazz,,Houston Rockets,
Sat Jan 20 2024,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,
Sun Jan 21 2024,3:30p,Brooklyn Nets,,Los Angeles Clippers,
Sun Jan 21 2024,6:00p,Miami Heat,,Orlando Magic,
Sun Jan 21 2024,6:00p,Denver Nuggets,,Washington Wizards,
Sun Jan 21 2024,7:00p,Boston Celtics,,Houston Rockets,
Sun Jan 21 2024,8:00p,Indiana Pacers,,Phoenix Suns,
Sun Jan 21 2024,10:00p,Portland Trail Blazers,,Los Angeles Lakers,
Mon Jan 22 2024,7:00p,Milwaukee Bucks,,Detroit Pistons,
Mon Jan 22 2024,7:00p,Cleveland Cavaliers,,Orlando Magic,
Mon Jan 22 2024,7:00p,San Antonio Spurs,,Philadelphia 76ers,
Mon Jan 22 2024,7:30p,Memphis Grizzlies,,Toronto Raptors,
Mon Jan 22 2024,8:00p,Charlotte Hornets,,Minnesota Timberwolves,
Mon Jan 22 2024,8:30p,Boston Celtics,,Dallas Mavericks,
Mon Jan 22 2024,9:00p,Chicago Bulls,,Phoenix Suns,
Mon Jan 22 2024,10:00p,Atlanta Hawks,,Sacramento Kings,
Tue Jan 23 2024,7:00p,Denver Nuggets,,Indiana Pacers,
Tue Jan 23 2024,7:30p,New York Knicks,,Brooklyn Nets,
Tue Jan 23 2024,8:00p,Utah Jazz,,New Orleans Pelicans,
Tue Jan 23 2024,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,
Tue Jan 23 2024,10:00p,Los Angeles Lakers,,Los Angeles Clippers,
Wed Jan 24 2024,7:00p,Charlotte Hornets,,Detroit Pistons,
Wed Jan 24 2024,7:00p,Minnesota Timberwolves,,Washington Wizards,
Wed Jan 24 2024,7:30p,Memphis Grizzlies,,Miami Heat,
Wed Jan 24 2024,8:00p,Portland Trail Blazers,,Houston Rockets,
Wed Jan 24 2024,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,
Wed Jan 24 2024,8:30p,Oklahoma City Thunder,,San Antonio Spurs,
Wed Jan 24 2024,9:30p,Phoenix Suns,,Dallas Mavericks,
Wed Jan 24 2024,10:00p,Atlanta Hawks,,Golden State Warriors,
Thu Jan 25 2024,7:00p,Philadelphia 76ers,,Indiana Pacers,
Thu Jan 25 2024,7:00p,Utah Jazz,,Washington Wizards,
Thu Jan 25 2024,7:30p,Minnesota Timberwolves,,Brooklyn Nets,
Thu Jan 25 2024,7:30p,Boston Celtics,,Miami Heat,
Thu Jan 25 2024,7:30p,Denver Nuggets,,New York Knicks,
Thu Jan 25 2024,10:00p,Sacramento Kings,,Golden State Warriors,
Thu Jan 25 2024,10:30p,Chicago Bulls,,Los Angeles Lakers,
Fri Jan 26 2024,7:00p,Dallas Mavericks,,Atlanta Hawks,
Fri Jan 26 2024,7:00p,Houston Rockets,,Charlotte Hornets,
Fri Jan 26 2024,7:00p,Phoenix Suns,,Indiana Pacers,
Fri Jan 26 2024,7:30p,Los Angeles Clippers,,Toronto Raptors,
Fri Jan 26 2024,8:00p,Orlando Magic,,Memphis Grizzlies,
Fri Jan 26 2024,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,
Fri Jan 26 2024,8:00p,Oklahoma City Thunder,,New Orleans Pelicans,
Fri Jan 26 2024,9:30p,Portland Trail Blazers,,San Antonio Spurs,
Sat Jan 27 2024,12:00p,Washington Wizards,,Detroit Pistons,
Sat Jan 27 2024,3:00p,Miami Heat,,New York Knicks,
Sat Jan 27 2024,5:30p,Philadelphia 76ers,,Denver Nuggets,
Sat Jan 27 2024,6:00p,Houston Rockets,,Brooklyn Nets,
Sat Jan 27 2024,7:00p,Los Angeles Clippers,,Boston Celtics,
Sat Jan 27 2024,7:00p,Utah Jazz,,Charlotte Hornets,
Sat Jan 27 2024,8:00p,New Orleans Pelicans,,Milwaukee Bucks,
Sat Jan 27 2024,8:30p,Los Angeles Lakers,,Golden State Warriors,
Sat Jan 27 2024,8:30p,Minnesota Timberwolves,,San Antonio Spurs,
Sat Jan 27 2024,9:00p,Sacramento Kings,,Dallas Mavericks,
Sun Jan 28 2024,3:30p,Memphis Grizzlies,,Indiana Pacers,
Sun Jan 28 2024,6:00p,Toronto Raptors,,Atlanta Hawks,
Sun Jan 28 2024,6:00p,Oklahoma City Thunder,,Detroit Pistons,
Sun Jan 28 2024,6:00p,Phoenix Suns,,Orlando Magic,
Sun Jan 28 2024,9:00p,Chicago Bulls,,Portland Trail Blazers,
Mon Jan 29 2024,7:00p,New York Knicks,,Charlotte Hornets,
Mon Jan 29 2024,7:00p,Los Angeles Clippers,,Cleveland Cavaliers,
Mon Jan 29 2024,7:30p,New Orleans Pelicans,,Boston Celtics,
Mon Jan 29 2024,7:30p,Utah Jazz,,Brooklyn Nets,
Mon Jan 29 2024,7:30p,Phoenix Suns,,Miami Heat,
Mon Jan 29 2024,8:00p,Los Angeles Lakers,,Houston Rockets,
Mon Jan 29 2024,8:00p,Sacramento Kings,,Memphis Grizzlies,
Mon Jan 29 2024,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,
Mon Jan 29 2024,8:00p,Washington Wizards,,San Antonio Spurs,
Mon Jan 29 2024,8:30p,Orlando Magic,,Dallas Mavericks,
Mon Jan 29 2024,9:00p,Milwaukee Bucks,,Denver Nuggets,
Mon Jan 29 2024,10:00p,Philadelphia 76ers,,Portland Trail Blazers,
Tue Jan 30 2024,7:30p,Los Angeles Lakers,,Atlanta Hawks,
Tue Jan 30 2024,7:30p,Indiana Pacers,,Boston Celtics,
Tue Jan 30 2024,7:30p,Utah Jazz,,New York Knicks,
Tue Jan 30 2024,8:00p,Toronto Raptors,,Chicago Bulls,
Tue Jan 30 2024,10:00p,Philadelphia 76ers,,Golden State Warriors,
Wed Jan 31 2024,7:00p,Chicago Bulls,,Charlotte Hornets,
Wed Jan 31 2024,7:00p,Detroit Pistons,,Cleveland Cavaliers,
Wed Jan 31 2024,7:00p,Los Angeles Clippers,,Washington Wizards,
Wed Jan 31 2024,7:30p,Sacramento Kings,,Miami Heat,
Wed Jan 31 2024,8:00p,New Orleans Pelicans,,Houston Rockets,
Wed Jan 31 2024,8:00p,Dallas Mavericks,,Minnesota Timberwolves,
Wed Jan 31 2024,8:00p,Denver Nuggets,,Oklahoma City Thunder,
Wed Jan 31 2024,8:00p,Orlando Magic,,San Antonio Spurs,
Wed Jan 31 2024,8:30p,Phoenix Suns,,Brooklyn Nets,
Wed Jan 31 2024,10:00p,Milwaukee Bucks,,Portland Trail Blazers,
Thu Feb 1 2024,7:30p,Los Angeles Lakers,,Boston Celtics,
Thu Feb 1 2024,7:30p,Indiana Pacers,,New York Knicks,
Thu Feb 1 2024,9:00p,Philadelphia 76ers,,Utah Jazz,
Thu Feb 1 2024,10:00p,Cleveland Cavaliers,,Memphis Grizzlies,
Fri Feb 2 2024,7:00p,Los Angeles Clippers,,Detroit Pistons,
Fri Feb 2 2024,7:00p,Miami Heat,,Washington Wizards,
Fri Feb 2 2024,7:30p,Phoenix Suns,,Atlanta Hawks,
Fri Feb 2 2024,7:30p,Sacramento Kings,,Indiana Pacers,
Fri Feb 2 2024,8:00p,Toronto Raptors,,Houston Rockets,
Fri Feb 2 2024,8:00p,Golden State Warriors,,Memphis Grizzlies,
Fri Feb 2 2024,8:00p,Orlando Magic,,Minnesota Timberwolves,
Fri Feb 2 2024,8:00p,Charlotte Hornets,,Oklahoma City Thunder,
Fri Feb 2 2024,8:00p,New Orleans Pelicans,,San Antonio Spurs,
Fri Feb 2 2024,9:00p,Portland Trail Blazers,,Denver Nuggets,
Sat Feb 3 2024,6:00p,Brooklyn Nets,,Philadelphia 76ers,
Sat Feb 3 2024,7:30p,Golden State Warriors,,Atlanta Hawks,
Sat Feb 3 2024,8:00p,Sacramento Kings,,Chicago Bulls,
Sat Feb 3 2024,8:30p,Milwaukee Bucks,,Dallas Mavericks,
Sat Feb 3 2024,8:30p,Los Angeles Lakers,,New York Knicks,
Sat Feb 3 2024,8:30p,Cleveland Cavaliers,,San Antonio Spurs,
Sun Feb 4 2024,3:00p,Orlando Magic,,Detroit Pistons,
Sun Feb 4 2024,3:30p,Phoenix Suns,,Washington Wizards,
Sun Feb 4 2024,6:00p,Memphis Grizzlies,,Boston Celtics,
Sun Feb 4 2024,6:00p,Indiana Pacers,,Charlotte Hornets,
Sun Feb 4 2024,6:00p,Los Angeles Clippers,,Miami Heat,
Sun Feb 4 2024,7:00p,Houston Rockets,,Minnesota Timberwolves,
Sun Feb 4 2024,7:00p,Toronto Raptors,,Oklahoma City Thunder,
Sun Feb 4 2024,8:00p,Milwaukee Bucks,,Utah Jazz,
Sun Feb 4 2024,8:30p,Portland Trail Blazers,,Denver Nuggets,
Mon Feb 5 2024,7:00p,Los Angeles Lakers,,Charlotte Hornets,
Mon Feb 5 2024,7:00p,Sacramento Kings,,Cleveland Cavaliers,
Mon Feb 5 2024,7:00p,Dallas Mavericks,,Philadelphia 76ers,
Mon Feb 5 2024,7:30p,Los Angeles Clippers,,Atlanta Hawks,
Mon Feb 5 2024,7:30p,Golden State Warriors,,Brooklyn Nets,
Mon Feb 5 2024,8:00p,Toronto Raptors,,New Orleans Pelicans,
Tue Feb 6 2024,7:00p,Houston Rockets,,Indiana Pacers,
Tue Feb 6 2024,7:30p,Dallas Mavericks,,Brooklyn Nets,
Tue Feb 6 2024,7:30p,Orlando Magic,,Miami Heat,
